timestamp,raw_turbidity_ntu,raw_ph,pac_mg_l,polymer_mg_l,filter_1_turbidity_ntu,filter_2_turbidity_ntu,filter_3_turbidity_ntu,filtered_ph
2025-01-01 00:00:00+00:00,36.2467,7.33187,9.18573,1.47169,2.30775,2.39006,2.12066,7.26237
2025-01-01 00:30:00+00:00,49.28606,7.14429,9.57891,1.52914,2.83368,2.93437,2.68542,7.06945
2025-01-01 01:00:00+00:00,45.69905,7.09119,10.34427,1.8323,2.31743,2.52768,2.38831,6.97537
2025-01-01 01:30:00+00:00,46.80899,7.14112,9.48569,1.51939,2.71503,2.88185,2.67898,7.02577
2025-01-01 02:00:00+00:00,45.65787,7.19449,8.66245,1.55422,2.91848,2.97446,2.84891,7.08943
2025-01-01 02:30:00+00:00,58.78064,7.16362,9.99121,1.81569,3.21353,3.42762,3.24214,7.06465
2025-01-01 03:00:00+00:00,52.06969,7.03699,8.97776,1.54916,3.05998,3.32937,3.1666,6.9845
2025-01-01 03:30:00+00:00,51.80321,7.16671,9.18819,1.72627,2.98492,3.07136,2.99676,7.0697
2025-01-01 04:00:00+00:00,53.43958,7.17891,9.68127,1.60324,3.18353,3.27547,3.15985,7.03725
2025-01-01 04:30:00+00:00,59.70957,7.41944,10.6906,1.74079,3.5,3.5,3.5,7.32698
2025-01-01 05:00:00+00:00,59.44049,7.34946,11.40774,2.04242,3.26252,3.40287,3.17858,7.25298
2025-01-01 05:30:00+00:00,60.21344,7.04776,9.72375,1.61821,3.46593,3.5,3.35427,6.96046
2025-01-01 06:00:00+00:00,60.56051,7.10938,10.90949,1.43909,3.15818,3.5,3.25444,7.01031
2025-01-01 06:30:00+00:00,70.80953,6.96156,10.98424,2.22861,3.3579,3.5,3.22263,6.82919
2025-01-01 07:00:00+00:00,55.25099,7.08557,10.54882,2.14787,2.74899,2.80539,2.53603,6.93506
2025-01-01 07:30:00+00:00,54.09593,7.18734,9.88411,1.63902,2.95975,3.13824,2.88312,7.0449
2025-01-01 08:00:00+00:00,51.52503,7.2899,8.33213,1.31142,3.41217,3.5,3.35217,7.13792
2025-01-01 08:30:00+00:00,59.11231,7.0634,11.2256,1.76466,2.95934,3.10219,2.94946,6.94404
2025-01-01 09:00:00+00:00,60.98533,7.06827,10.30467,1.76714,3.23017,3.41535,3.17437,6.94876
2025-01-01 09:30:00+00:00,52.12834,6.91997,9.80923,1.64369,3.01316,3.20794,2.97941,6.79343
2025-01-01 10:00:00+00:00,46.1994,7.14895,8.6096,1.37694,3.0658,3.06383,2.96898,6.94769
2025-01-01 10:30:00+00:00,44.57457,7.0529,8.89678,1.63368,2.79717,2.84111,2.68714,6.90902
2025-01-01 11:00:00+00:00,51.58632,7.09891,10.18589,1.76171,2.84652,3.00897,2.89964,7.02295
2025-01-01 11:30:00+00:00,50.21307,7.06316,9.68721,1.40449,3.12753,3.07861,3.03753,6.92927
2025-01-01 12:00:00+00:00,47.02346,7.15499,9.65007,1.7097,2.69634,2.85983,2.59497,7.05865
2025-01-01 12:30:00+00:00,37.75436,6.98869,9.1183,1.78054,2.24518,2.28202,2.18807,6.83772
2025-01-01 13:00:00+00:00,41.1273,7.0146,10.03985,1.55449,2.28947,2.40472,2.21431,6.95069
2025-01-01 13:30:00+00:00,38.45744,7.41499,8.08794,1.37707,2.73894,2.81592,2.71443,7.31841
2025-01-01 14:00:00+00:00,37.16004,7.0415,7.70671,1.37872,2.38807,2.43189,2.30849,6.96468
2025-01-01 14:30:00+00:00,39.26506,7.05868,9.64244,1.58743,2.36327,2.26268,2.1099,7.03072
2025-01-01 15:00:00+00:00,33.69349,7.39141,7.72393,1.07652,2.55625,2.66067,2.35576,7.35611
2025-01-01 15:30:00+00:00,34.89452,7.50675,8.6768,1.42513,2.54605,2.6438,2.51672,7.3976
2025-01-01 16:00:00+00:00,29.8737,7.06736,8.35333,1.25636,1.98967,2.04417,1.81873,6.95138
2025-01-01 16:30:00+00:00,35.00445,7.14648,8.3185,1.68527,2.12997,2.15996,2.15959,7.04201
2025-01-01 17:00:00+00:00,41.07696,7.21363,9.0766,1.46951,2.57041,2.68166,2.63164,7.12844
2025-01-01 17:30:00+00:00,32.79869,7.38112,9.26003,1.65384,2.23697,2.27222,2.11458,7.27293
2025-01-01 18:00:00+00:00,44.12006,7.06203,10.75725,1.4138,2.53115,2.76701,2.50696,6.92476
2025-01-01 18:30:00+00:00,47.96369,7.13668,9.57412,1.70268,2.79654,2.80162,2.70076,7.07996
2025-01-01 19:00:00+00:00,51.95516,7.24199,9.82954,1.72336,3.04467,3.25145,2.95825,7.12693
2025-01-01 19:30:00+00:00,59.39399,7.19092,11.17458,1.67771,3.20199,3.32587,3.15756,7.14402
2025-01-01 20:00:00+00:00,75.52001,7.07269,11.36548,2.07663,3.5,3.5,3.5,6.94778
2025-01-01 20:30:00+00:00,67.10122,7.1145,11.41646,2.12591,3.03783,3.29975,3.15246,7.04849
2025-01-01 21:00:00+00:00,84.07945,6.94742,12.84226,2.16057,3.5,3.5,3.5,6.81446
2025-01-01 21:30:00+00:00,74.35763,7.08996,12.05419,1.78192,3.49907,3.5,3.5,6.98614
2025-01-01 22:00:00+00:00,88.8225,7.06082,12.52141,2.26635,3.5,3.5,3.5,6.89426
2025-01-01 22:30:00+00:00,98.35454,7.0985,12.74954,2.26506,3.5,3.5,3.5,6.92468
